"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"janeiro 2013","Rondônia","Área colhida (Hectares)","144064"
"janeiro 2013","Rondônia","Produção (Toneladas)","457355"
"janeiro 2013","Acre","Área colhida (Hectares)","-"
"janeiro 2013","Acre","Produção (Toneladas)","-"
"janeiro 2013","Amazonas","Área colhida (Hectares)","-"
"janeiro 2013","Amazonas","Produção (Toneladas)","-"
"janeiro 2013","Roraima","Área colhida (Hectares)","-"
"janeiro 2013","Roraima","Produção (Toneladas)","-"
"janeiro 2013","Pará","Área colhida (Hectares)","140000"
"janeiro 2013","Pará","Produção (Toneladas)","396000"
"janeiro 2013","Amapá","Área colhida (Hectares)","-"
"janeiro 2013","Amapá","Produção (Toneladas)","-"
"janeiro 2013","Tocantins","Área colhida (Hectares)","406600"
"janeiro 2013","Tocantins","Produção (Toneladas)","1165045"
"janeiro 2013","Maranhão","Área colhida (Hectares)","587104"
"janeiro 2013","Maranhão","Produção (Toneladas)","1814666"
"janeiro 2013","Piauí","Área colhida (Hectares)","546428"
"janeiro 2013","Piauí","Produção (Toneladas)","1671076"
"janeiro 2013","Ceará","Área colhida (Hectares)","-"
"janeiro 2013","Ceará","Produção (Toneladas)","-"
"janeiro 2013","Rio Grande do Norte","Área colhida (Hectares)","-"
"janeiro 2013","Rio Grande do Norte","Produção (Toneladas)","-"
"janeiro 2013","Paraíba","Área colhida (Hectares)","-"
"janeiro 2013","Paraíba","Produção (Toneladas)","-"
"janeiro 2013","Pernambuco","Área colhida (Hectares)","-"
"janeiro 2013","Pernambuco","Produção (Toneladas)","-"
"janeiro 2013","Alagoas","Área colhida (Hectares)","-"
"janeiro 2013","Alagoas","Produção (Toneladas)","-"
"janeiro 2013","Sergipe","Área colhida (Hectares)","-"
"janeiro 2013","Sergipe","Produção (Toneladas)","-"
"janeiro 2013","Bahia","Área colhida (Hectares)","1214319"
"janeiro 2013","Bahia","Produção (Toneladas)","3820678"
"janeiro 2013","Minas Gerais","Área colhida (Hectares)","1119769"
"janeiro 2013","Minas Gerais","Produção (Toneladas)","3355320"
"janeiro 2013","Espírito Santo","Área colhida (Hectares)","-"
"janeiro 2013","Espírito Santo","Produção (Toneladas)","-"
"janeiro 2013","Rio de Janeiro","Área colhida (Hectares)","-"
"janeiro 2013","Rio de Janeiro","Produção (Toneladas)","-"
"janeiro 2013","São Paulo","Área colhida (Hectares)","600522"
"janeiro 2013","São Paulo","Produção (Toneladas)","1681462"
"janeiro 2013","Paraná","Área colhida (Hectares)","4710618"
"janeiro 2013","Paraná","Produção (Toneladas)","15423186"
"janeiro 2013","Santa Catarina","Área colhida (Hectares)","512394"
"janeiro 2013","Santa Catarina","Produção (Toneladas)","1631393"
"janeiro 2013","Rio Grande do Sul","Área colhida (Hectares)","4609542"
"janeiro 2013","Rio Grande do Sul","Produção (Toneladas)","11846523"
"janeiro 2013","Mato Grosso do Sul","Área colhida (Hectares)","1980000"
"janeiro 2013","Mato Grosso do Sul","Produção (Toneladas)","5940000"
"janeiro 2013","Mato Grosso","Área colhida (Hectares)","7877488"
"janeiro 2013","Mato Grosso","Produção (Toneladas)","24387908"
"janeiro 2013","Goiás","Área colhida (Hectares)","2861444"
"janeiro 2013","Goiás","Produção (Toneladas)","9187262"
"janeiro 2013","Distrito Federal","Área colhida (Hectares)","55000"
"janeiro 2013","Distrito Federal","Produção (Toneladas)","176000"
"fevereiro 2013","Rondônia","Área colhida (Hectares)","144064"
"fevereiro 2013","Rondônia","Produção (Toneladas)","457355"
"fevereiro 2013","Acre","Área colhida (Hectares)","-"
"fevereiro 2013","Acre","Produção (Toneladas)","-"
"fevereiro 2013","Amazonas","Área colhida (Hectares)","-"
"fevereiro 2013","Amazonas","Produção (Toneladas)","-"
"fevereiro 2013","Roraima","Área colhida (Hectares)","-"
"fevereiro 2013","Roraima","Produção (Toneladas)","-"
"fevereiro 2013","Pará","Área colhida (Hectares)","140000"
"fevereiro 2013","Pará","Produção (Toneladas)","396000"
"fevereiro 2013","Amapá","Área colhida (Hectares)","-"
"fevereiro 2013","Amapá","Produção (Toneladas)","-"
"fevereiro 2013","Tocantins","Área colhida (Hectares)","406600"
"fevereiro 2013","Tocantins","Produção (Toneladas)","1165045"
"fevereiro 2013","Maranhão","Área colhida (Hectares)","587451"
"fevereiro 2013","Maranhão","Produção (Toneladas)","1815443"
"fevereiro 2013","Piauí","Área colhida (Hectares)","546428"
"fevereiro 2013","Piauí","Produção (Toneladas)","1671076"
"fevereiro 2013","Ceará","Área colhida (Hectares)","-"
"fevereiro 2013","Ceará","Produção (Toneladas)","-"
"fevereiro 2013","Rio Grande do Norte","Área colhida (Hectares)","-"
"fevereiro 2013","Rio Grande do Norte","Produção (Toneladas)","-"
"fevereiro 2013","Paraíba","Área colhida (Hectares)","-"
"fevereiro 2013","Paraíba","Produção (Toneladas)","-"
"fevereiro 2013","Pernambuco","Área colhida (Hectares)","-"
"fevereiro 2013","Pernambuco","Produção (Toneladas)","-"
"fevereiro 2013","Alagoas","Área colhida (Hectares)","-"
"fevereiro 2013","Alagoas","Produção (Toneladas)","-"
"fevereiro 2013","Sergipe","Área colhida (Hectares)","-"
"fevereiro 2013","Sergipe","Produção (Toneladas)","-"
"fevereiro 2013","Bahia","Área colhida (Hectares)","1213855"
"fevereiro 2013","Bahia","Produção (Toneladas)","3825454"
"fevereiro 2013","Minas Gerais","Área colhida (Hectares)","1144625"
"fevereiro 2013","Minas Gerais","Produção (Toneladas)","3420964"
"fevereiro 2013","Espírito Santo","Área colhida (Hectares)","-"
"fevereiro 2013","Espírito Santo","Produção (Toneladas)","-"
"fevereiro 2013","Rio de Janeiro","Área colhida (Hectares)","-"
"fevereiro 2013","Rio de Janeiro","Produção (Toneladas)","-"
"fevereiro 2013","São Paulo","Área colhida (Hectares)","590560"
"fevereiro 2013","São Paulo","Produção (Toneladas)","1784590"
"fevereiro 2013","Paraná","Área colhida (Hectares)","4711118"
"fevereiro 2013","Paraná","Produção (Toneladas)","15370500"
"fevereiro 2013","Santa Catarina","Área colhida (Hectares)","512394"
"fevereiro 2013","Santa Catarina","Produção (Toneladas)","1631393"
"fevereiro 2013","Rio Grande do Sul","Área colhida (Hectares)","4660464"
"fevereiro 2013","Rio Grande do Sul","Produção (Toneladas)","12364549"
"fevereiro 2013","Mato Grosso do Sul","Área colhida (Hectares)","1980000"
"fevereiro 2013","Mato Grosso do Sul","Produção (Toneladas)","5702400"
"fevereiro 2013","Mato Grosso","Área colhida (Hectares)","7877488"
"fevereiro 2013","Mato Grosso","Produção (Toneladas)","24387908"
"fevereiro 2013","Goiás","Área colhida (Hectares)","2878788"
"fevereiro 2013","Goiás","Produção (Toneladas)","9120131"
"fevereiro 2013","Distrito Federal","Área colhida (Hectares)","55000"
"fevereiro 2013","Distrito Federal","Produção (Toneladas)","176000"
"março 2013","Rondônia","Área colhida (Hectares)","171765"
"março 2013","Rondônia","Produção (Toneladas)","541446"
"março 2013","Acre","Área colhida (Hectares)","-"
"março 2013","Acre","Produção (Toneladas)","-"
"março 2013","Amazonas","Área colhida (Hectares)","-"
"março 2013","Amazonas","Produção (Toneladas)","-"
"março 2013","Roraima","Área colhida (Hectares)","-"
"março 2013","Roraima","Produção (Toneladas)","-"
"março 2013","Pará","Área colhida (Hectares)","189036"
"março 2013","Pará","Produção (Toneladas)","587191"
"março 2013","Amapá","Área colhida (Hectares)","-"
"março 2013","Amapá","Produção (Toneladas)","-"
"março 2013","Tocantins","Área colhida (Hectares)","406600"
"março 2013","Tocantins","Produção (Toneladas)","1165045"
"março 2013","Maranhão","Área colhida (Hectares)","570078"
"março 2013","Maranhão","Produção (Toneladas)","1661124"
"março 2013","Piauí","Área colhida (Hectares)","544533"
"março 2013","Piauí","Produção (Toneladas)","1068214"
"março 2013","Ceará","Área colhida (Hectares)","-"
"março 2013","Ceará","Produção (Toneladas)","-"
"março 2013","Rio Grande do Norte","Área colhida (Hectares)","-"
"março 2013","Rio Grande do Norte","Produção (Toneladas)","-"
"março 2013","Paraíba","Área colhida (Hectares)","-"
"março 2013","Paraíba","Produção (Toneladas)","-"
"março 2013","Pernambuco","Área colhida (Hectares)","-"
"março 2013","Pernambuco","Produção (Toneladas)","-"
"março 2013","Alagoas","Área colhida (Hectares)","-"
"março 2013","Alagoas","Produção (Toneladas)","-"
"março 2013","Sergipe","Área colhida (Hectares)","-"
"março 2013","Sergipe","Produção (Toneladas)","-"
"março 2013","Bahia","Área colhida (Hectares)","1211267"
"março 2013","Bahia","Produção (Toneladas)","2644713"
"março 2013","Minas Gerais","Área colhida (Hectares)","1142175"
"março 2013","Minas Gerais","Produção (Toneladas)","3398602"
"março 2013","Espírito Santo","Área colhida (Hectares)","-"
"março 2013","Espírito Santo","Produção (Toneladas)","-"
"março 2013","Rio de Janeiro","Área colhida (Hectares)","-"
"março 2013","Rio de Janeiro","Produção (Toneladas)","-"
"março 2013","São Paulo","Área colhida (Hectares)","590560"
"março 2013","São Paulo","Produção (Toneladas)","1784590"
"março 2013","Paraná","Área colhida (Hectares)","4711987"
"março 2013","Paraná","Produção (Toneladas)","15575543"
"março 2013","Santa Catarina","Área colhida (Hectares)","517853"
"março 2013","Santa Catarina","Produção (Toneladas)","1602010"
"março 2013","Rio Grande do Sul","Área colhida (Hectares)","4668824"
"março 2013","Rio Grande do Sul","Produção (Toneladas)","12206014"
"março 2013","Mato Grosso do Sul","Área colhida (Hectares)","1980000"
"março 2013","Mato Grosso do Sul","Produção (Toneladas)","5702400"
"março 2013","Mato Grosso","Área colhida (Hectares)","7879327"
"março 2013","Mato Grosso","Produção (Toneladas)","23861655"
"março 2013","Goiás","Área colhida (Hectares)","2911148"
"março 2013","Goiás","Produção (Toneladas)","8960790"
"março 2013","Distrito Federal","Área colhida (Hectares)","52500"
"março 2013","Distrito Federal","Produção (Toneladas)","168000"
"abril 2013","Rondônia","Área colhida (Hectares)","171765"
"abril 2013","Rondônia","Produção (Toneladas)","541446"
"abril 2013","Acre","Área colhida (Hectares)","-"
"abril 2013","Acre","Produção (Toneladas)","-"
"abril 2013","Amazonas","Área colhida (Hectares)","-"
"abril 2013","Amazonas","Produção (Toneladas)","-"
"abril 2013","Roraima","Área colhida (Hectares)","-"
"abril 2013","Roraima","Produção (Toneladas)","-"
"abril 2013","Pará","Área colhida (Hectares)","166076"
"abril 2013","Pará","Produção (Toneladas)","511051"
"abril 2013","Amapá","Área colhida (Hectares)","-"
"abril 2013","Amapá","Produção (Toneladas)","-"
"abril 2013","Tocantins","Área colhida (Hectares)","406600"
"abril 2013","Tocantins","Produção (Toneladas)","1165045"
"abril 2013","Maranhão","Área colhida (Hectares)","569998"
"abril 2013","Maranhão","Produção (Toneladas)","1660884"
"abril 2013","Piauí","Área colhida (Hectares)","544533"
"abril 2013","Piauí","Produção (Toneladas)","1068214"
"abril 2013","Ceará","Área colhida (Hectares)","-"
"abril 2013","Ceará","Produção (Toneladas)","-"
"abril 2013","Rio Grande do Norte","Área colhida (Hectares)","-"
"abril 2013","Rio Grande do Norte","Produção (Toneladas)","-"
"abril 2013","Paraíba","Área colhida (Hectares)","-"
"abril 2013","Paraíba","Produção (Toneladas)","-"
"abril 2013","Pernambuco","Área colhida (Hectares)","-"
"abril 2013","Pernambuco","Produção (Toneladas)","-"
"abril 2013","Alagoas","Área colhida (Hectares)","-"
"abril 2013","Alagoas","Produção (Toneladas)","-"
"abril 2013","Sergipe","Área colhida (Hectares)","-"
"abril 2013","Sergipe","Produção (Toneladas)","-"
"abril 2013","Bahia","Área colhida (Hectares)","1211267"
"abril 2013","Bahia","Produção (Toneladas)","2548966"
"abril 2013","Minas Gerais","Área colhida (Hectares)","1142895"
"abril 2013","Minas Gerais","Produção (Toneladas)","3403021"
"abril 2013","Espírito Santo","Área colhida (Hectares)","-"
"abril 2013","Espírito Santo","Produção (Toneladas)","-"
"abril 2013","Rio de Janeiro","Área colhida (Hectares)","-"
"abril 2013","Rio de Janeiro","Produção (Toneladas)","-"
"abril 2013","São Paulo","Área colhida (Hectares)","590560"
"abril 2013","São Paulo","Produção (Toneladas)","1784590"
"abril 2013","Paraná","Área colhida (Hectares)","4753026"
"abril 2013","Paraná","Produção (Toneladas)","15850637"
"abril 2013","Santa Catarina","Área colhida (Hectares)","517853"
"abril 2013","Santa Catarina","Produção (Toneladas)","1602010"
"abril 2013","Rio Grande do Sul","Área colhida (Hectares)","4668824"
"abril 2013","Rio Grande do Sul","Produção (Toneladas)","12206014"
"abril 2013","Mato Grosso do Sul","Área colhida (Hectares)","1985047"
"abril 2013","Mato Grosso do Sul","Produção (Toneladas)","5720669"
"abril 2013","Mato Grosso","Área colhida (Hectares)","7879327"
"abril 2013","Mato Grosso","Produção (Toneladas)","23861655"
"abril 2013","Goiás","Área colhida (Hectares)","2917558"
"abril 2013","Goiás","Produção (Toneladas)","8894482"
"abril 2013","Distrito Federal","Área colhida (Hectares)","52500"
"abril 2013","Distrito Federal","Produção (Toneladas)","178238"
"maio 2013","Rondônia","Área colhida (Hectares)","174827"
"maio 2013","Rondônia","Produção (Toneladas)","556023"
"maio 2013","Acre","Área colhida (Hectares)","-"
"maio 2013","Acre","Produção (Toneladas)","-"
"maio 2013","Amazonas","Área colhida (Hectares)","-"
"maio 2013","Amazonas","Produção (Toneladas)","-"
"maio 2013","Roraima","Área colhida (Hectares)","-"
"maio 2013","Roraima","Produção (Toneladas)","-"
"maio 2013","Pará","Área colhida (Hectares)","166076"
"maio 2013","Pará","Produção (Toneladas)","511051"
"maio 2013","Amapá","Área colhida (Hectares)","-"
"maio 2013","Amapá","Produção (Toneladas)","-"
"maio 2013","Tocantins","Área colhida (Hectares)","406600"
"maio 2013","Tocantins","Produção (Toneladas)","1165045"
"maio 2013","Maranhão","Área colhida (Hectares)","571664"
"maio 2013","Maranhão","Produção (Toneladas)","1663959"
"maio 2013","Piauí","Área colhida (Hectares)","533134"
"maio 2013","Piauí","Produção (Toneladas)","924691"
"maio 2013","Ceará","Área colhida (Hectares)","-"
"maio 2013","Ceará","Produção (Toneladas)","-"
"maio 2013","Rio Grande do Norte","Área colhida (Hectares)","-"
"maio 2013","Rio Grande do Norte","Produção (Toneladas)","-"
"maio 2013","Paraíba","Área colhida (Hectares)","-"
"maio 2013","Paraíba","Produção (Toneladas)","-"
"maio 2013","Pernambuco","Área colhida (Hectares)","-"
"maio 2013","Pernambuco","Produção (Toneladas)","-"
"maio 2013","Alagoas","Área colhida (Hectares)","-"
"maio 2013","Alagoas","Produção (Toneladas)","-"
"maio 2013","Sergipe","Área colhida (Hectares)","-"
"maio 2013","Sergipe","Produção (Toneladas)","-"
"maio 2013","Bahia","Área colhida (Hectares)","1211267"
"maio 2013","Bahia","Produção (Toneladas)","2766335"
"maio 2013","Minas Gerais","Área colhida (Hectares)","1145680"
"maio 2013","Minas Gerais","Produção (Toneladas)","3362042"
"maio 2013","Espírito Santo","Área colhida (Hectares)","-"
"maio 2013","Espírito Santo","Produção (Toneladas)","-"
"maio 2013","Rio de Janeiro","Área colhida (Hectares)","-"
"maio 2013","Rio de Janeiro","Produção (Toneladas)","-"
"maio 2013","São Paulo","Área colhida (Hectares)","590560"
"maio 2013","São Paulo","Produção (Toneladas)","1784590"
"maio 2013","Paraná","Área colhida (Hectares)","4752031"
"maio 2013","Paraná","Produção (Toneladas)","15865623"
"maio 2013","Santa Catarina","Área colhida (Hectares)","517853"
"maio 2013","Santa Catarina","Produção (Toneladas)","1602010"
"maio 2013","Rio Grande do Sul","Área colhida (Hectares)","4721911"
"maio 2013","Rio Grande do Sul","Produção (Toneladas)","12768493"
"maio 2013","Mato Grosso do Sul","Área colhida (Hectares)","1985047"
"maio 2013","Mato Grosso do Sul","Produção (Toneladas)","5720669"
"maio 2013","Mato Grosso","Área colhida (Hectares)","7902645"
"maio 2013","Mato Grosso","Produção (Toneladas)","23414331"
"maio 2013","Goiás","Área colhida (Hectares)","2926408"
"maio 2013","Goiás","Produção (Toneladas)","8831762"
"maio 2013","Distrito Federal","Área colhida (Hectares)","52500"
"maio 2013","Distrito Federal","Produção (Toneladas)","178238"
"junho 2013","Rondônia","Área colhida (Hectares)","175777"
"junho 2013","Rondônia","Produção (Toneladas)","558913"
"junho 2013","Acre","Área colhida (Hectares)","-"
"junho 2013","Acre","Produção (Toneladas)","-"
"junho 2013","Amazonas","Área colhida (Hectares)","-"
"junho 2013","Amazonas","Produção (Toneladas)","-"
"junho 2013","Roraima","Área colhida (Hectares)","-"
"junho 2013","Roraima","Produção (Toneladas)","-"
"junho 2013","Pará","Área colhida (Hectares)","189397"
"junho 2013","Pará","Produção (Toneladas)","587914"
"junho 2013","Amapá","Área colhida (Hectares)","-"
"junho 2013","Amapá","Produção (Toneladas)","-"
"junho 2013","Tocantins","Área colhida (Hectares)","406600"
