"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"setembro 2009","Brasil","Área colhida (Hectares)","21709501"
"setembro 2009","Brasil","Produção (Toneladas)","56860110"
"setembro 2009","Norte","Área colhida (Hectares)","495276"
"setembro 2009","Norte","Produção (Toneladas)","1430027"
"setembro 2009","Nordeste","Área colhida (Hectares)","1612923"
"setembro 2009","Nordeste","Produção (Toneladas)","4175198"
"setembro 2009","Sudeste","Área colhida (Hectares)","1437768"
"setembro 2009","Sudeste","Produção (Toneladas)","3956332"
"setembro 2009","Sul","Área colhida (Hectares)","8262988"
"setembro 2009","Sul","Produção (Toneladas)","18399243"
"setembro 2009","Centro-Oeste","Área colhida (Hectares)","9900546"
"setembro 2009","Centro-Oeste","Produção (Toneladas)","28899310"
"outubro 2009","Brasil","Área colhida (Hectares)","21730551"
"outubro 2009","Brasil","Produção (Toneladas)","57019657"
"outubro 2009","Norte","Área colhida (Hectares)","495276"
"outubro 2009","Norte","Produção (Toneladas)","1430027"
"outubro 2009","Nordeste","Área colhida (Hectares)","1612923"
